vuln_022_SC05,0,0.4.0,2,202932
vuln_024_SC05,1,0.4.21,36,500188
vuln_023_SC05,0,0.4.16,114,1103716
vuln_026_SC05,1,0.4.24,45,617532
vuln_027_SC05,0,0.4.25,3,220852
vuln_025_SC05,124,0.4.13,150,879140
vuln_029_SC05,0,0.4.0,2,202896
vuln_030_SC05,1,0.4.15,11,322324
vuln_031_SC05,0,0.4.0,3,202920
vuln_032_SC05,1,0.4.16,12,328220
vuln_033_SC05,0,0.4.22,11,679376
vuln_028_SC05,1,0.4.25,102,803624
vuln_035_SC05,0,0.4.2,3,202372
vuln_036_SC06,0,0.4.25,8,256364
vuln_037_SC06,0,0.4.25,3,223812
vuln_034_SC05,0,0.4.24,57,647772
vuln_039_SC06,0,0.4.0,2,202680
vuln_038_SC06,1,0.4.24,8,287132
vuln_040_SC06,0,0.4.25,4,226492
vuln_041_SC06,1,0.4.15,18,319204
vuln_043_SC08,1,0.4.19,117,598456
vuln_042_SC08,124,0.4.19,150,1206948
vuln_044_SC08,1,0.4.19,18,344432
vuln_045_SC08,124,0.4.19,150,1176000
vuln_046_SC08,124,0.4.23,150,1302764
vuln_047_SC08,124,0.4.19,150,1206588
vuln_048_SC08,124,0.4.19,150,786724
vuln_049_SC08,1,0.4.24,22,393508
vuln_050_SC08,124,0.4.19,150,1225176
vuln_051_SC08,124,0.4.25,150,1312172
vuln_052_SC08,124,0.4.19,151,1190736
vuln_054_SC08,0,0.4.10,2,202736
vuln_055_SC08,0,0.4.0,2,203068
vuln_053_SC08,124,0.4.19,150,723944
vuln_057_SC08,1,0.4.24,16,370280
vuln_056_SC08,124,0.4.25,150,1385100
vuln_059_SC08,1,0.4.24,28,395988
vuln_058_SC08,124,0.4.25,150,1341676
vuln_060_SC08,124,0.4.19,150,808572
vuln_061_SC08,124,0.4.19,150,727428
vuln_062_SC08,124,0.4.19,150,808436
vuln_063_SC08,124,0.4.19,150,780908
vuln_064_SC08,124,0.4.19,150,1226100
vuln_065_SC08,124,0.4.25,150,1377500
vuln_066_SC08,1,0.4.15,15,330840
vuln_067_SC08,1,0.4.18,53,530180
vuln_068_SC08,124,0.4.19,150,1182820
vuln_070_SC08,0,0.4.2,3,202848
vuln_069_SC08,124,0.4.19,150,1180912
vuln_072_SC09,1,0.4.11,6,283880
vuln_073_SC09,1,0.4.19,4,251332
vuln_074_SC09,0,0.4.10,2,202812
vuln_075_SC09,1,0.4.25,4,250308
vuln_076_SC09,1,0.4.18,10,315196
vuln_077_SC09,0,0.4.10,2,202972
vuln_078_SC09,1,0.4.19,4,251488
vuln_079_SC09,1,0.4.19,4,253536
vuln_071_SC08,124,0.4.25,150,1357616
vuln_081_SC09,1,0.4.23,5,269288
vuln_080_SC09,1,0.4.21,85,630900
vuln_083_SC09,1,0.4.23,4,269492
vuln_084_SC09,0,0.4.19,3,221632
vuln_085_SC09,1,0.4.15,5,287112
vuln_086_SC09,1,0.4.23,46,642220
vuln_087_SC01,0,0.4.24,2,203232
vuln_088_SC01,0,0.4.24,2,203356
vuln_089_SC01,0,0.4.24,3,202928
vuln_090_SC01,0,0.4.13,2,203224
vuln_091_SC01,0,0.4.11,2,203644
vuln_092_SC01,0,0.4.24,2,202972
vuln_093_SC01,0,0.4.16,3,203116
vuln_094_SC01,0,0.4.24,2,202468
vuln_095_SC01,0,0.4.24,2,203256
vuln_096_SC01,0,0.4.24,2,202984
vuln_097_SC01,0,0.4.11,2,204176
vuln_098_SC01,0,0.4.24,3,203284
vuln_099_SC05,1,0.4.24,3,233948
vuln_082_SC09,124,0.4.16,150,1242276
vuln_100_SC05,1,0.4.20,121,2241252
vuln_101_SC05,124,0.4.22,150,904624
vuln_102_SC05,1,0.4.25,115,1154724
vuln_103_SC05,124,0.4.24,150,898072
vuln_104_SC05,124,0.4.16,150,670016
vuln_106_SC05,1,0.4.24,3,236688
vuln_105_SC05,0,0.4.25,108,922960
vuln_107_SC05,0,0.4.21,108,891396
vuln_109_SC05,0,0.4.24,10,466644
vuln_108_SC05,124,0.4.23,150,842948
vuln_110_SC05,1,0.4.22,115,1836256
vuln_112_SC06,0,0.4.18,2,203100
vuln_111_SC05,0,0.4.25,109,1370164
vuln_113_SC06,1,0.4.24,132,1477044
vuln_115_SC06,0,0.4.18,2,203056
vuln_116_SC06,0,0.4.21,2,203184
vuln_117_SC06,0,0.4.21,108,889772
vuln_118_SC06,0,0.4.11,2,204500
vuln_119_SC06,0,0.4.16,3,202912
vuln_114_SC06,124,0.4.21,150,1228404
vuln_121_SC06,0,0.4.16,2,202672
vuln_122_SC06,0,0.4.18,2,202960
vuln_120_SC06,0,0.5.1,74,640288
vuln_123_SC06,124,0.4.24,150,851216
vuln_124_SC06,1,0.4.25,112,2174848
vuln_125_SC06,1,0.4.24,118,1730192
vuln_126_SC06,124,0.4.18,150,943884
vuln_128_SC06,1,0.4.11,25,253684
vuln_127_SC06,1,0.4.24,105,713336
vuln_129_SC06,0,0.4.24,111,2219464
vuln_131_SC06,0,0.4.18,2,203184
vuln_132_SC06,1,0.4.23,9,290300
vuln_130_SC06,1,0.4.24,122,941056
vuln_133_SC06,0,0.4.16,108,830852
vuln_134_SC06,1,0.4.19,106,566164
vuln_136_SC09,1,0.4.25,103,1477252
vuln_135_SC06,1,0.4.24,140,663992
vuln_137_SC09,124,0.4.13,150,861760
vuln_138_SC09,124,0.4.24,150,851140
vuln_139_SC09,124,0.4.25,150,828572
vuln_140_SC09,1,0.4.25,148,2468672
vuln_141_SC09,1,0.4.25,136,1616180
vuln_142_SC09,124,0.4.24,150,690524
vuln_143_SC09,1,0.4.24,148,1736956
vuln_145_SC09,0,0.5.0,8,292052
vuln_144_SC09,124,0.4.24,150,1085640
vuln_147_SC09,0,0.4.21,112,1935320
vuln_146_SC09,124,0.4.24,150,969900
vuln_149_SC09,0,0.4.24,3,220896
vuln_150_SC09,1,0.4.18,116,2366304
vuln_148_SC09,1,0.4.16,143,701188
vuln_301_SC01,0,0.4.24,71,588880
vuln_302_SC06,124,0.4.21,150,1274336
vuln_303_SC06,1,0.4.24,113,793200
vuln_305_SC06,0,0.4.18,2,203532
vuln_304_SC06,0,0.4.21,108,895152
vuln_307_SC08,1,0.4.15,15,353092
vuln_306_SC06,124,0.4.11,150,2263252
vuln_308_SC08,124,0.4.24,150,860020
